"Symbol","Synonym Symbol","Scientific Name with Author","Common Name","Family"
"NAAM","ABAM4","Abama americana (Ker Gawl.) Morong","","Liliaceae"
"NAAM","ABMO3","Abama montana Small","","Liliaceae"
"ABGR4","","Abelia ×grandiflora (Rovelli ex André) Rehder","glossy abelia","Caprifoliaceae"
"ABELI","","Abelia R. Br.","abelia","Caprifoliaceae"
"ABES","","Abelmoschus esculentus (L.) Moench","okra","Malvaceae"
"ABMA9","","Abelmoschus manihot (L.) Medik. [excluded]","NULL","Malvaceae"
"ABELM","","Abelmoschus Medik.","okra","Malvaceae"
"ABMO","","Abelmoschus moschatus Medik.","musk okra","Malvaceae"
"DOCA3","ABCA4","Aberia caffra Hook. f. & Harv.","","Flacourtiaceae"
"DOHE2","ABGA","Aberia gardneri D. Clos","","Flacourtiaceae"
"ABAL3","","Abies alba Mill.","silver fir","Pinaceae"
"ABAM","","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir","Pinaceae"
"ABLAA","ABAR2","Abies arizonica Merriam","","Pinaceae"
"ABBA","","Abies balsamea (L.) Mill.","balsam fir","Pinaceae"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae"
"ABBAB","","Abies balsamea (L.) Mill. var. balsamea","balsam fir","Pinaceae"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae"
"ABBAP","","Abies balsamea (L.) Mill. var. phanerolepis Fernald","NULL","Pinaceae"
"ABLAL","ABBI3","Abies bifolia A. Murray bis","","Pinaceae"
"ABBR","","Abies bracteata (D. Don) D. Don ex Poit.","bristlecone fir","Pinaceae"
"ABCO","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Pinaceae"
"ABCO","ABCOC","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor","","Pinaceae"
"ABLO","ABCOL","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon","","Pinaceae"
"ABFR","","Abies fraseri (Pursh) Poir.","Fraser fir","Pinaceae"
"ABGR","","Abies grandis (Douglas ex D. Don) Lindl.","grand fir","Pinaceae"
"ABGR","ABGRJ","Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews","","Pinaceae"
"ABGR","ABGRI2","Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba","","Pinaceae"
"ABGR","ABGRG","Abies grandis (Douglas ex D. Don) Lindl. var. grandis ","","Pinaceae"
"ABGR","ABGRI","Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba","","Pinaceae"
"ABGU","","Abies guatemalensis Rehder","Guatemalan fir","Pinaceae"
"ABHO","","Abies homolepis Siebold & Zucc.","Nikko fir","Pinaceae"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae"
"ABLAA","","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","corkbark fir","Pinaceae"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae"
"ABLO","","Abies lowiana (Gordon & Glend.) A. Murray bis","Sierra white fir","Pinaceae"
"ABMA","","Abies magnifica A. Murray bis","California red fir","Pinaceae"
"ABMAS","ABMAS2","Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba","","Pinaceae"
"ABMAS","ABMAC","Abies magnifica A. Murray bis var. critchfieldii Lanner","","Pinaceae"
"ABMAM","","Abies magnifica A. Murray bis var. magnifica ","California red fir","Pinaceae"
"ABMAS","","Abies magnifica A. Murray bis var. shastensis Lemmon","Shasta red fir","Pinaceae"
"ABIES","","Abies Mill.","fir","Pinaceae"
"ABPR","ABNO","Abies nobilis (Douglas ex D. Don) Lindl.","","Pinaceae"
"ABBAP","ABPH","Abies ×phanerolepis (Fernald) Liu","","Pinaceae"
"ABPR","","Abies procera Rehder","noble fir","Pinaceae"
"ABMAS","ABSH","Abies ×shastensis (Lemmon) Lemmon","","Pinaceae"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae"
"ABVE2","","Abies veitchii Lindl.","Christmastree","Pinaceae"
"ABBR","ABVE","Abies venusta (Douglas) K. Koch","","Pinaceae"
"ABAB70","","Abietinella abietina (Hedw.) Fleisch.","abietinella moss","Thuidiaceae"
"ABIET","","Abietinella Müll. Hal.","abietenella moss","Thuidiaceae"
"ABOV","ABMO4","Abildgaardia monostachya (L.) Vahl","","Cyperaceae"
"ABOV","","Abildgaardia ovata (Burm. f.) Kral","flatspike sedge","Cyperaceae"
"ABILD","","Abildgaardia Vahl","sedge","Cyperaceae"
"ABSA2","ABSA4","Abortopetalum sandwicense O. Deg.","","Malvaceae"
"ABUMB","ABAC","Abronia acutalata Standl.","","Nyctaginaceae"
"ABUMU","ABAL2","Abronia alba Eastw.","","Nyctaginaceae"
"ABAL","","Abronia alpina Brandegee","Ramshaw Meadows sand verbena","Nyctaginaceae"
"ABAM2","","Abronia ameliae Lundell","Amelia's sand verbena","Nyctaginaceae"
"ABAM3","","Abronia ammophila Greene","Wyoming sand verbena","Nyctaginaceae"
"ABAN","","Abronia angustifolia Greene","purple sand verbena","Nyctaginaceae"
"ABAN","ABANA","Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles","","Nyctaginaceae"
"ABAR","","Abronia argillosa S.L. Welsh & Goodrich","clay sand verbena","Nyctaginaceae"
"ABBI","","Abronia bigelovii Heimerl","Galisteo sand verbena","Nyctaginaceae"
"ABBO","","Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil","Bolack's sand verbena","Nyctaginaceae"
"ABUMB","ABBR2","Abronia breviflora Standl.","","Nyctaginaceae"
"ABCA","","Abronia carletonii J.M. Coult. & Fisher","Carleton's sand verbena","Nyctaginaceae"
"TRCAC7","ABCA3","Abronia carnea Greene","","Nyctaginaceae"
"TRCR5","ABCR","Abronia crux-maltae Kellogg","","Nyctaginaceae"
"TRMI6","ABCY2","Abronia cycloptera A. Gray","","Nyctaginaceae"
"ABEL","","Abronia elliptica A. Nelson","fragrant white sand verbena","Nyctaginaceae"
"ABTU","ABEX","Abronia exalata Standl.","","Nyctaginaceae"
"ABAM3","ABFE","Abronia fendleri Standl.","","Nyctaginaceae"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","snowball sand verbena","Nyctaginaceae"
"ABEL","ABFRE2","Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones","","Nyctaginaceae"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae"
"ABGR2","","Abronia gracilis Benth.","slender sand verbena","Nyctaginaceae"
"ABIN2","","Abronia insularis Standl.","island sand verbena","Nyctaginaceae"
"ABRON","","Abronia Juss.","sand verbena","Nyctaginaceae"
"ABLA2","","Abronia latifolia Eschsch.","coastal sand verbena","Nyctaginaceae"
"ABMA5","","Abronia macrocarpa L.A. Galloway","largefruit sand verbena","Nyctaginaceae"
"ABMA2","","Abronia maritima Nutt. ex S. Watson","red sand verbena","Nyctaginaceae"
"ABME","","Abronia mellifera Douglas ex Hook.","white sand verbena","Nyctaginaceae"
"TRMI6","ABMI3","Abronia micrantha Torr.","","Nyctaginaceae"
"TRMI6","ABMIP","Abronia micrantha Torr. var. pedunculata M.E. Jones","","Nyctaginaceae"
"ABMI2","","Abronia minor Standl.","little sand verbena","Nyctaginaceae"
"ABNA","","Abronia nana S. Watson","dwarf sand verbena","Nyctaginaceae"
"ABNAC","ABNAC2","Abronia nana S. Watson ssp. covillei (Heimerl) Munz","","Nyctaginaceae"
"ABNAC","","Abronia nana S. Watson var. covillei (Heimerl) Munz","Coville's dwarf sand verbena","Nyctaginaceae"
"ABNAH","","Abronia nana S. Watson var. harrisii S.L. Welsh","Harris' dwarf sand verbena","Nyctaginaceae"
"ABNAN","ABNAL","Abronia nana S. Watson var. lanciformis M.E. Jones","","Nyctaginaceae"
"ABNAN","","Abronia nana S. Watson var. nana","dwarf sand verbena","Nyctaginaceae"
"ABNE","","Abronia neurophylla Standl.","beach sand verbena","Nyctaginaceae"
"ABTU","ABOR2","Abronia orbiculata Standl.","","Nyctaginaceae"
"ABVIA","ABPI2","Abronia pinetorum Abrams","","Nyctaginaceae"
"ABUMU","ABPL","Abronia platyphylla Standl.","","Nyctaginaceae"
"ABPO","","Abronia pogonantha Heimerl","Mojave sand verbena","Nyctaginaceae"
"ABEL","ABPU2","Abronia pumila Rydb.","","Nyctaginaceae"
"ABEL","ABRA","Abronia ramosa Standl.","","Nyctaginaceae"
"ABEL","ABSA3","Abronia salsa Rydb.","","Nyctaginaceae"
"ABAN","ABTO","Abronia torreyi Standl.","","Nyctaginaceae"
"ABTU","","Abronia turbinata Torr. ex S. Watson","transmontane sand verbena","Nyctaginaceae"
"ABUM","","Abronia umbellata Lam.","pink sand verbena","Nyctaginaceae"
"ABUMB","ABUMA2","Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett","","Nyctaginaceae"
"ABUMU","ABUMA4","Abronia umbellata Lam. ssp. alba (Eastw.) Munz","","Nyctaginaceae"
"ABUMB","","Abronia umbellata Lam. ssp. breviflora (Standl.) Munz","pink sand verbena","Nyctaginaceae"
"ABUMU","ABUMP","Abronia umbellata Lam. ssp. platyphylla (Standl.) Munz","","Nyctaginaceae"
"ABUMU","","Abronia umbellata Lam. ssp. umbellata","pink sand verbena","Nyctaginaceae"
"ABUMU","ABUMV","Abronia umbellata Lam. ssp. variabilis (Standl.) Munz","","Nyctaginaceae"
"ABUMB","ABUMA3","Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.","","Nyctaginaceae"
"ABUMU","ABVA","Abronia variabilis Standl.","","Nyctaginaceae"
"ABVI","","Abronia villosa S. Watson","desert sand verbena","Nyctaginaceae"
"ABVIA","","Abronia villosa S. Watson var. aurita (Abrams) Jeps.","desert sand verbena","Nyctaginaceae"
"ABVIV","","Abronia villosa S. Watson var. villosa","desert sand verbena","Nyctaginaceae"
"ABBE2","","Abrothallus bertianus De Not.","NULL","NULL"
"ABBR3","","Abrothallus bryoriarum Hafellner","NULL","NULL"
"ABCE","","Abrothallus cetrariae Kotte","NULL","NULL"
"ABCL","","Abrothallus cladoniae R. Sant. & D. Hawksw.","NULL","NULL"
"ABROT","","Abrothallus De Not.","abrothallus lichen","NULL"
"PHOXO","ABOX","Abrothallus oxysporus Tul.","","Lecanoraceae"
"ABPA5","","Abrothallus parmeliarum (Sommerf.) Arnold","parmelia abrothallus lichen","NULL"
"ABPE2","","Abrothallus peyritschii (Stein) Kotte","NULL","NULL"
"ABPR5","","Abrothallus prodiens (Harm.) Diederich & Hafellner","NULL","NULL"
"LIMA15","ABUS","Abrothallus usneae auct.","","Lichenotheliaceae"
"ABWE","","Abrothallus welwitschii Tul.","NULL","NULL"
"ABPR3","ABAB2","Abrus abrus (L.) W. Wight","","Fabaceae"
"ABRUS","","Abrus Adans.","abrus","Fabaceae"
"ABPR3","","Abrus precatorius L.","rosarypea","Fabaceae"
"ABSP","","Absconditella sphagnorum Vezda & Poelt","sphagnum absonditella lichen","Stictidaceae"
"ABTR3","","Absconditella trivialis (Willey ex Tuck.) Vezda","trivial absconditella lichen","Stictidaceae"
"ABSCO","","Absconditella Vezda","absconditella lichen","Stictidaceae"
"ABAB","","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","shrubby Indian mallow","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby","","Malvaceae"
"ABAB","ABAM5","Abutilon americanum (L.) Sweet","","Malvaceae"
"ABAU","","Abutilon auritum (Wall. ex Link) Sweet","Asian Indian mallow","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABBE","","Abutilon berlandieri A. Gray ex S. Watson","Berlandier's Indian mallow","Malvaceae"
"ABBE","ABCA2","Abutilon californicum auct. non Benth.","","Malvaceae"
"ABHU","ABCO2","Abutilon commutatum auct. non K. Schum.","","Malvaceae"
"HECR3","ABCR2","Abutilon crispum (L.) Medik.","","Malvaceae"
"ABER","","Abutilon eremitopetalum Caum","hiddenpetal Indian mallow","Malvaceae"
"ABFR3","","Abutilon fruticosum Guill. & Perr.","Texas Indian mallow","Malvaceae"
"ABGL","","Abutilon glabriflorum Hochr. [excluded]","NULL","Malvaceae"
"ABGR3","","Abutilon grandifolium (Willd.) Sweet","hairy Indian mallow","Malvaceae"
"ABHI","","Abutilon hirtum (Lam.) Sweet","Florida Keys Indian mallow","Malvaceae"
"ABHU","","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve","Malvaceae"
"ABHY","","Abutilon hypoleucum A. Gray","whiteleaf Indian mallow","Malvaceae"
"ABIN","","Abutilon incanum (Link) Sweet","pelotazo","Malvaceae"
"ABIN","ABINI","Abutilon incanum (Link) Sweet ssp. incanum","","Malvaceae"
"ABIN","ABINP","Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe","","Malvaceae"
"ABIN3","","Abutilon indicum (L.) Sweet","monkeybush","Malvaceae"
"ABAB","ABJA","Abutilon jacquinii G. Don","","Malvaceae"
"ABAB","ABLI","Abutilon lignosum (Cav.) G. Don","","Malvaceae"
"ABMA3","","Abutilon malacum S. Watson","yellow Indian mallow","Malvaceae"
"ALHO4","ABMA7","Abutilon marshii Standl.","","Malvaceae"
"ABMA8","","Abutilon mauritianum (Jacq.) Medik.","NULL","Malvaceae"
"ABME3","","Abutilon megapotamicum (A. Spreng.) A. St.-Hil. & Naudin","trailing abutilon","Malvaceae"
"ABME2","","Abutilon menziesii Seem.","ko'oloa 'ula","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ABMO2","","Abutilon mollicomum (Willd.) Sweet","Sonoran Indian mallow","Malvaceae"
"HONE","ABNE2","Abutilon newberryi S. Watson","","Malvaceae"
"ABPA","","Abutilon palmeri A. Gray","Palmer's Indian mallow","Malvaceae"
"ABPA2","","Abutilon parishii S. Watson","Parish's Indian mallow","Malvaceae"
"ABPA3","","Abutilon parvulum A. Gray","dwarf Indian mallow","Malvaceae"
"ABHU","ABPA4","Abutilon pauciflorum Sweet","","Malvaceae"
"ABPE","","Abutilon permolle (Willd.) Sweet","coastal Indian mallow","Malvaceae"
"ABIN","ABPR4","Abutilon pringlei Hochr.","","Malvaceae"
"ABRE","","Abutilon reventum S. Watson","yellowflower Indian mallow","Malvaceae"
"ABSA2","","Abutilon sandwicense (O. Deg.) Christoph.","greenflower Indian mallow","Malvaceae"
"ABSA2","ABSAW","Abutilon sandwicense (O. Deg.) Christoph. var. welchii Christoph.","","Malvaceae"
"ABMO2","ABSO","Abutilon sonorae A. Gray","","Malvaceae"
"ABFR3","ABTE","Abutilon texense Torr. & A. Gray","","Malvaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH2","","Abutilon thurberi A. Gray","Thurber's Indian mallow","Malvaceae"
"ABTR","ABTR2","Abutilon triquetrum (L.) Sweet","","Malvaceae"
"ABTR","","Abutilon trisulcatum (Jacq.) Urb.","anglestem Indian mallow","Malvaceae"
"PSUM2","ABUM2","Abutilon umbellatum (L.) Sweet","","Malvaceae"
"BAEG6","ABVI2","Abutilon virginianum Krapov.","","Malvaceae"
"ABWR","","Abutilon wrightii A. Gray","Wright's Indian mallow","Malvaceae"
"ACAB2","","Acacia abyssinica Hochst. ex Benth.","NULL","Fabaceae"
"ACABC2","","Acacia abyssinica Hochst. ex Benth. ssp. calophylla Brenan","NULL","Fabaceae"
"ACAD","ACAC6","Acacia accola Maiden & Betche","","Fabaceae"
"ACAC7","","Acacia acinacea Lindl.","gold-dust acacia","Fabaceae"
"ACAC8","","Acacia aciphylla Benth.","NULL","Fabaceae"
"ACAC9","","Acacia aculeatissima J.F. Macbr.","NULL","Fabaceae"
"ACAC10","","Acacia acuminata Benth.","NULL","Fabaceae"
"ACAD","","Acacia adunca A. Cunn. ex G. Don","Wallangarra wattle","Fabaceae"
"ACAL16","","Acacia alata R. Br.","winged wattle","Fabaceae"
"FAAL","ACAL15","Acacia albida Delile","","Fabaceae"
"ACRI","ACAM3","Acacia amentacea DC.","","Fabaceae"
"ACAM9","","Acacia ampliceps Maslin","acacia","Fabaceae"
"ACAN4","","Acacia anegadensis Britton [excluded]","blackbrush wattle","Fabaceae"
"ACAN10","","Acacia aneura F. Muell. ex Benth.","mulga","Fabaceae"
"ACAN","","Acacia angustissima (Mill.) Kuntze","prairie acacia","Fabaceae"
"ACANC","","Acacia angustissima (Mill.) Kuntze var. chisosiana Isely","Chisos prairie acacia","Fabaceae"
"ACANS2","ACANC2","Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson p.p.","","Fabaceae"
"ACANT4","ACANC2","Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson p.p.","","Fabaceae"
"ACANH","","Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.","prairie acacia","Fabaceae"
"ACANS","","Acacia angustissima (Mill.) Kuntze var. shrevei (Britton & Rose) Isely","Shreve's prairie acacia","Fabaceae"
"ACANS2","","Acacia angustissima (Mill.) Kuntze var. suffrutescens (Rose) Isely","prairie acacia","Fabaceae"
"ACANT4","","Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely","prairie wattle","Fabaceae"
"ACNI2","ACAR11","Acacia arabica (Lam.) Willd.","","Fabaceae"
"ACAR12","","Acacia arenaria Schinz","NULL","Fabaceae"
"MIAR4","ACAR3","Acacia arenosa Willd.","","Fabaceae"
"ACPA8","ACAR15","Acacia armata R. Br.","","Fabaceae"
"ACAU","","Acacia auriculiformis A. Cunn. ex Benth.","earleaf acacia","Fabaceae"
"ACBA","","Acacia baileyana F. Muell.","cootamundra wattle","Fabaceae"
"ACBE6","","Acacia beckleri Tindale","Barrier Range wattle","Fabaceae"
"ACBE","","Acacia berlandieri Benth.","guajillo","Fabaceae"
"ACBI5","","Acacia binervata DC.","two-vein-hickory","Fabaceae"
"ACBO4","","Acacia boomanii Maiden","Snowy River wattle","Fabaceae"
"ACBR3","","Acacia brachybotrya Benth.","gray mulga","Fabaceae"
"ACCI6","ACBR4","Acacia brachystachya auct.","","Fabaceae"
"ACBU3","","Acacia buxifolia A. Cunn.","NULL","Fabaceae"
"ACCA23","","Acacia caesiella Maiden & Blakely","NULL","Fabaceae"
"ACCA24","","Acacia calamifolia Sweet ex Lindl.","broom wattle","Fabaceae"
"ACCA25","","Acacia cambagei R.T. Baker","gidgee","Fabaceae"
"ACPOC2","ACCA26","Acacia campylacantha Hochst. ex A. Rich.","","Fabaceae"
"ACCA27","","Acacia cardiophylla A. Cunn. ex Benth.","wyalong wattle","Fabaceae"
"ACCA21","","Acacia catechu (L. f.) Willd. [excluded]","black cutch","Fabaceae"
"ACCA35","","Acacia caven (Molina) Molina","Roman-cassie","Fabaceae"
"ACCA35","ACCA28","Acacia cavenia (Molina) Hook. & Arn., orth. var.","","Fabaceae"
"ACCH8","ACCH7","Acacia chinchellensis Tindale, orth. var.","","Fabaceae"
"ACCH8","","Acacia chinchillensis Tindale","Chinchilla wattle","Fabaceae"
"ACCH","","Acacia choriophylla Benth.","cinnecord","Fabaceae"
"ACCI6","","Acacia cibaria F. Muell.","turpentine mulga","Fabaceae"
"ACST8","ACCL2","Acacia clivicola Pedley","","Fabaceae"
"ACCO15","","Acacia cognata Domin","bower wattle","Fabaceae"
"ACCO16","","Acacia colletioides A. Cunn. ex Benth.","NULL","Fabaceae"
"ACCO24","","Acacia collinsii Saff.","bull horn acacia","Fabaceae"
"ACCO24","ACCOP3","Acacia collinsii Saff. var. pseudomyrmex ?, ined.","","Fabaceae"
"ACCO","","Acacia confusa Merr.","small Philippine acacia","Fabaceae"
"ACCO17","","Acacia conspersa F. Muell.","NULL","Fabaceae"
"ACCO2","","Acacia constricta Benth.","whitethorn acacia","Fabaceae"
"ACCOC","","Acacia constricta Benth. var. constricta","whitethorn acacia","Fabaceae"
"ACCOP9","","Acacia constricta Benth. var. paucispina Woot. & Standl.","whitethorn acacia","Fabaceae"
"ACNE4","ACCOV","Acacia constricta Benth. var. vernicosa (Standl.) L.D. Benson","","Fabaceae"
"ACCO18","","Acacia continua Benth.","thorn wattle","Fabaceae"
"ACCO5","","Acacia cornigera (L.) Willd.","bullhorn wattle","Fabaceae"
"ACCR2","","Acacia craspedocarpa F. Muell.","NULL","Fabaceae"
"ACCU4","","Acacia cultriformis A. Cunn. ex G. Don","knife acacia","Fabaceae"
"ACCU5","","Acacia cupularis Domin","NULL","Fabaceae"
"ACANT4","ACCU","Acacia cuspidata Schltdl. p.p.","","Fabaceae"
"ACANS2","ACCU","Acacia cuspidata Schltdl. p.p.","","Fabaceae"
"ACSA","ACCY","Acacia cyanophylla Lindl.","","Fabaceae"
"ACAC7","ACCY3","Acacia cyclophylla Schltdl.","","Fabaceae"
"ACCY2","","Acacia cyclops A. Cunn. ex G. Don","coastal wattle","Fabaceae"
"ACDA5","","Acacia davyi N.E. Br.","NULL","Fabaceae"
"ACDE3","","Acacia dealbata Link","silver wattle","Fabaceae"
"ACDE11","","Acacia deanei (R.T. Baker) R.T. Baker ex M.B. Welch, Coombs & McGlymn","Deane's wattle","Fabaceae"
"ACDEP2","","Acacia deanei (R.T. Baker) R.T. Baker ex M.B. Welch, Coombs & McGlymn ssp. paucijuga (Wakef.) Tindale","NULL","Fabaceae"
"ACDE12","","Acacia decora Rchb.","graceful wattle","Fabaceae"
